user_id,tweet_text,creation_date,user_location,user_follower,user_friends,sentiment_analysis_polarity,sentiment_analysis_subjectivity
1060666561076314112,"RT @RealSaavedra: AOC compares Trump to Hitler here:

-‘Never Again’ references the Holocaust
-Concentration camps are a reference to the H…",2019-06-18 20:47:39,"Washington, DC",245,371,0.0,0.0
755408142,"RT @kylegriffin1: Trump, asked by @AprilDRyan if he would apologize for his remarks on the Central Park Five, does not apologize and adds:…",2019-06-18 20:47:39,,1261,2736,0.0,0.25
730841377777451008,More winning🤷🏻‍♀️😂😂😂,2019-06-18 20:47:39,United States,1235,1748,0.5,0.5
2478381612,"RT @RepJerryNadler: One of the lessons from the Holocaust is ‘Never Again’ - not only to mass murder, but also to the dehumanization of peo…",2019-06-18 20:47:39,Canada,3609,4999,0.0,1.0
822517413732229120,RT @charliekirk11: Let this be a lesson: Any new Secretary of Defense must oppose crony corruption from Amazon and cancel their $10 billion…,2019-06-18 20:47:39,God Bless U.S.A,44106,42495,0.13636363636363635,0.45454545454545453
344133845,"RT @1776Stonewall: Supposedly 150,000 people tried to get a seat at the Trump rally in Orlando. arena only fits 20,000. Supposedly there's…",2019-06-18 20:47:39,North Carolina,17670,18252,0.0,1.0
814245598765273089,RT @CCox714: I have been saying for at least the last six months that RBG is dead. They are holding off as long as possible to keep Preside…,2019-06-18 20:47:39,"Colorado Springs, CO",9641,10262,-0.11000000000000001,0.4533333333333333
698676116433797120,"RT @AOC: This administration has established concentration camps on the southern border of the United States for immigrants, where they are…",2019-06-18 20:47:40,,1386,4014,0.0,0.0
16791215,@PhilipinDC The racists really do love Trump. But why?,2019-06-18 20:47:40,"New Jersey, USA",332,1034,0.5,0.6
282912700,RT @LisaMei62: I love this man. https://t.co/8v7Uh0WZIC,2019-06-18 20:47:40,,3325,720,0.5,0.6
526707382,"RT @BlueSea1964: 🚨 Larry Johnson: Exposing The Fraudulent DNC Suit Against Trump For Russian Collusion!!!

#BluestarZone

 https://t.co/awP…",2019-06-18 20:47:40,"Marietta, GA",72762,77035,0.0,0.0
118794845,RT @CNBCnow: Dow closes up more than 350 points after Trump says he will meet with China's Xi at the G-20 meeting https://t.co/oHNipWbn6g h…,2019-06-18 20:47:40,Value Investing,2675,1577,0.5,0.5
783313595882958848,"RT @AOC: This administration has established concentration camps on the southern border of the United States for immigrants, where they are…",2019-06-18 20:47:40,,79,372,0.0,0.0
845824702954246144,RT @NightlyPolitics: Trump To Sell His Family As The New Kennedys At Reelection Launch https://t.co/LX4wGt1NsZ,2019-06-18 20:47:40,"Florida, USA",1264,3510,0.13636363636363635,0.45454545454545453
200722218,"RT @carlosvecchio: Previo a conferencia de prensa para anunciar despliegue de la ayuda humanitaria del USNS Comfort, discutimos junto a @VP…",2019-06-18 20:47:40,,162,934,0.0,0.0
773688607869632512,RT @speakupsal: Yes I do &amp; love him. You &amp; your 3 followers are invited to a #MAGA #BlockParty https://t.co/VDjmxiRFTZ,2019-06-18 20:47:40,"United States, Mid Atlantic",14959,15288,0.5,0.6
995036457508143109,"RT @RepJerryNadler: One of the lessons from the Holocaust is ‘Never Again’ - not only to mass murder, but also to the dehumanization of peo…",2019-06-18 20:47:40,,834,1767,0.0,1.0
227307359,RT @HikerDogDuo: So Alexandria Ocasio-Cortez is accusing the Trump Administration of establishing concentration camps at the Southern Borde…,2019-06-18 20:47:40,CONNECTICUT,11538,12682,0.0,0.0
46969888,"RT @JoyAnnReid: It's the entire foundation of his support. One of the biggest myths about 2016 was that ""economic anxiety"" drove Trump supp…",2019-06-18 20:47:40,Chicago,973,1333,0.1,0.4125
63218422,RT @andylassner: Even the local paper says #AnybodyButTrump2020 https://t.co/dOqQXchKr7,2019-06-18 20:47:40,"Kentucky, USA",1867,4992,0.0,0.0
4824720603,"RT @GregNorberg: Pres. Trump vs. Joe Biden
More people showed up to a fundraiser held at a private residence for Joe Biden than to a public…",2019-06-18 20:47:40,,3279,3562,0.25,0.4375
1140886117014622208,"RT @RealSaavedra: Leftists, who claim that Trump is a Nazi, are now engaging in Holocaust trivialization in an attempt to prove that Trump…",2019-06-18 20:47:40,,15,168,0.4,0.7
912961818057953280,"RT @amrourk: I'm not surprised.  I'm gagging on my own bile, but I'm not surprised. https://t.co/Iv6zO0JrKI",2019-06-18 20:47:40,"Leicester, England",2259,1937,0.16666666666666666,0.9333333333333332
778314307817787392,"RT @GaRepublicans: 🚨 !!! ATTENTION GA REPUBLICANS !!! 🚨

@realDonaldTrump supporters are meeting tonight across Georgia to watch the #Trump…",2019-06-18 20:47:40,"Sheridan, OR",1079,2195,0.0,0.0
1027592096990089217,RT @Jamierodr14: AWESOME! Proud Boys member says he’s at Trump rally to protect Trump Supporters from Anti-Trump so they won’t be Harassed.…,2019-06-18 20:47:40,"Red State, USA",3723,4563,0.9,1.0
857195645186306048,"RT @marklutchman: 63 million Americans voted for Trump in 2016.

Liberals say that number will fall in 2020.

I say, millions more will vot…",2019-06-18 20:47:40,,2649,4996,0.5,0.5
704060092065423361,RT @CNNPolitics: Democrats plan to ask Hope Hicks about hush money schemes to silence affair allegations against Trump https://t.co/gQJ6fLp…,2019-06-18 20:47:40,"Connecticut, USA",7238,3311,0.0,0.0
960204695737217024,"RT @charliekirk11: Crowd size at Joe Biden rallies:

Henderson, NV—50-100

Columbia, SC—250-300

Des Moines, IA—400

Iowa City, IA—75

Dubu…",2019-06-18 20:47:40,"Ohio, USA",878,628,0.0,0.0
193357080,RT @Dannoacton: .@Twitter at it again! Multiple large Conservative accounts locked again. Mine locked 7X in 2 weeks. Each time @jack erases…,2019-06-18 20:47:40,United States,10037,11038,0.10714285714285714,0.21428571428571427
4871447266,RT @JamilSmith: We haven’t had fair elections in forever. This is no accident. Republicans have been hard at work on that. Then the Russian…,2019-06-18 20:47:40,,648,1297,0.20416666666666664,0.7208333333333333
820975983922728962,"RT @DearAuntCrabby: If you think the 2020 election will be a free and fair election, I have news for you. Trump and Republicans will do eve…",2019-06-18 20:47:40,Northern Michigan,3435,4272,0.55,0.8500000000000001
981593697082109952,RT @ResisterSis20: https://t.co/JWS1wFqxql https://t.co/snbYG16bJm,2019-06-18 20:47:40,"Florida, USA",8899,9741,0.0,0.0
792164346688176129,"RT @JoyAnnReid: It's the entire foundation of his support. One of the biggest myths about 2016 was that ""economic anxiety"" drove Trump supp…",2019-06-18 20:47:40,WINTER,191,225,0.1,0.4125
127330660,RT @Popehat: Lol remember when people were 100% sure that Trump appointed Kavanaugh to overturn the dual sovereignty doctrine so he could p…,2019-06-18 20:47:40,"Washington, DC",616,3504,0.65,0.7944444444444444
